quarter,quarter_qf,hb,hbqf,location,location_qf,specialty,specialty_qf,specialty_name,specialty_name_qf,all_staffed_beddays,all_staffed_beddays_qf,total_occupied_beddays,total_occupied_beddays_qf,average_available_staffed_beds,average_available_staffed_beds_qf,average_occupied_beds,average_occupied_beds_qf,percentage_occupancy,percentage_occupancy_qf
2016Q4,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,16117,NA,12049,NA,175.18478260869568,NA,130.9673913043478,NA,74.75957063969722,NA
2016Q4,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,16117,NA,12049,NA,175.18478260869568,NA,130.9673913043478,NA,74.75957063969722,NA
2017Q1,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15622,NA,11569,NA,173.5777777777778,NA,128.54444444444445,NA,74.05581871719372,NA
2017Q1,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15622,NA,11569,NA,173.5777777777778,NA,128.54444444444445,NA,74.05581871719372,NA
2017Q2,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15604,NA,11614,NA,171.4725274725275,NA,127.62637362637363,NA,74.42963342732634,NA
2017Q2,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15604,NA,11614,NA,171.4725274725275,NA,127.62637362637363,NA,74.42963342732634,NA
2017Q3,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15426,NA,11658,NA,167.67391304347828,NA,126.71739130434786,NA,75.57370672889928,NA
2017Q3,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15426,NA,11658,NA,167.67391304347828,NA,126.71739130434786,NA,75.57370672889928,NA
2017Q4,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,16159,NA,12434,NA,175.64130434782612,NA,135.1521739130435,NA,76.94783093013183,NA
2017Q4,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,16159,NA,12434,NA,175.64130434782612,NA,135.1521739130435,NA,76.94783093013183,NA
2018Q1,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15681,NA,11871,NA,174.23333333333335,NA,131.9,NA,75.70308016070406,NA
2018Q1,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15681,NA,11871,NA,174.23333333333335,NA,131.9,NA,75.70308016070406,NA
2018Q2,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15817,NA,12349,NA,173.81318681318683,NA,135.70329670329673,NA,78.07422393627111,NA
2018Q2,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15817,NA,12349,NA,173.81318681318683,NA,135.70329670329673,NA,78.07422393627111,NA
2018Q3,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15806,NA,12390,NA,171.804347826087,NA,134.67391304347825,NA,78.3879539415412,NA
2018Q3,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15806,NA,12390,NA,171.804347826087,NA,134.67391304347825,NA,78.3879539415412,NA
2018Q4,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,14852,NA,11765,NA,161.43478260869568,NA,127.88043478260872,NA,79.21492054942097,NA
2018Q4,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,14852,NA,11765,NA,161.43478260869568,NA,127.88043478260872,NA,79.21492054942097,NA
2019Q1,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,14783,NA,11654,NA,164.2555555555556,NA,129.4888888888889,NA,78.83379557599947,NA
2019Q1,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,14783,NA,11654,NA,164.2555555555556,NA,129.4888888888889,NA,78.83379557599947,NA
2019Q2,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,14929,NA,11897,NA,164.05494505494508,NA,130.73626373626377,NA,79.69053519994642,NA
2019Q2,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,14929,NA,11897,NA,164.05494505494508,NA,130.73626373626377,NA,79.69053519994642,NA
2019Q3,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15392,NA,12067,NA,167.304347826087,NA,131.1630434782609,NA,78.39786902286903,NA
2019Q3,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15392,NA,12067,NA,167.304347826087,NA,131.1630434782609,NA,78.39786902286903,NA
2019Q4,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15603,NA,11659,NA,169.59782608695656,NA,126.72826086956525,NA,74.72280971608023,NA
2019Q4,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15603,NA,11659,NA,169.59782608695656,NA,126.72826086956525,NA,74.72280971608023,NA
2020Q1,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,14896,NA,10915,NA,163.6923076923077,NA,119.94505494505498,NA,73.2747046186896,NA
2020Q1,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,14896,NA,10915,NA,163.6923076923077,NA,119.94505494505498,NA,73.2747046186896,NA
2020Q2,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,14366,NA,8101,NA,157.86813186813183,NA,89.02197802197804,NA,56.3900877070862,NA
2020Q2,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,14366,NA,8101,NA,157.86813186813183,NA,89.02197802197804,NA,56.3900877070862,NA
2020Q3,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15442,NA,9934,NA,167.84782608695656,NA,107.97826086956525,NA,64.3310452013988,NA
2020Q3,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15442,NA,9934,NA,167.84782608695656,NA,107.97826086956525,NA,64.3310452013988,NA
2020Q4,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,15665,NA,11164,NA,170.2717391304348,NA,121.34782608695654,NA,71.2671560804341,NA
2020Q4,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,15665,NA,11164,NA,170.2717391304348,NA,121.34782608695654,NA,71.2671560804341,NA
2021Q1,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,16547,NA,12060,NA,183.8555555555556,NA,134,NA,72.88330210914367,NA
2021Q1,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,16547,NA,12060,NA,183.8555555555556,NA,134,NA,72.88330210914367,NA
2021Q2,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,16159,NA,12269,NA,177.5714285714286,NA,134.82417582417585,NA,75.92672813911753,NA
2021Q2,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,16159,NA,12269,NA,177.5714285714286,NA,134.82417582417585,NA,75.92672813911753,NA
2021Q3,NA,SB0801,NA,D102H,NA,NA,z,All Acute,d,16897,NA,12029,NA,183.6630434782609,NA,130.75,NA,71.19015209800558,NA
2021Q3,NA,SB0801,NA,SB0801,d,NA,z,All Acute,d,16897,NA,12029,NA,183.6630434782609,NA,130.75,NA,71.19015209800558,NA
2021Q4,p,SB0801,NA,D102H,NA,NA,z,All Acute,d,17794,NA,12613,NA,193.4130434782609,NA,137.09782608695653,NA,70.88344385748007,NA
2021Q4,p,SB0801,NA,SB0801,d,NA,z,All Acute,d,17794,NA,12613,NA,193.4130434782609,NA,137.09782608695653,NA,70.88344385748007,NA
2016Q4,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,16117,NA,12049,NA,175.18478260869568,NA,130.9673913043478,NA,74.75957063969722,NA
2016Q4,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,16117,NA,12049,NA,175.18478260869568,NA,130.9673913043478,NA,74.75957063969722,NA
2017Q1,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,15622,NA,11569,NA,173.5777777777778,NA,128.54444444444445,NA,74.05581871719372,NA
2017Q1,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,15622,NA,11569,NA,173.5777777777778,NA,128.54444444444445,NA,74.05581871719372,NA
2017Q2,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,15604,NA,11614,NA,171.4725274725275,NA,127.62637362637363,NA,74.42963342732634,NA
2017Q2,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,15604,NA,11614,NA,171.4725274725275,NA,127.62637362637363,NA,74.42963342732634,NA
2017Q3,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,15426,NA,11658,NA,167.67391304347828,NA,126.71739130434786,NA,75.57370672889928,NA
2017Q3,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,15426,NA,11658,NA,167.67391304347828,NA,126.71739130434786,NA,75.57370672889928,NA
2017Q4,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,16159,NA,12434,NA,175.64130434782612,NA,135.1521739130435,NA,76.94783093013183,NA
2017Q4,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,16159,NA,12434,NA,175.64130434782612,NA,135.1521739130435,NA,76.94783093013183,NA
2018Q1,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,15681,NA,11871,NA,174.23333333333335,NA,131.9,NA,75.70308016070406,NA
2018Q1,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,15681,NA,11871,NA,174.23333333333335,NA,131.9,NA,75.70308016070406,NA
2018Q2,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,15817,NA,12349,NA,173.81318681318683,NA,135.70329670329673,NA,78.07422393627111,NA
2018Q2,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,15817,NA,12349,NA,173.81318681318683,NA,135.70329670329673,NA,78.07422393627111,NA
2018Q3,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,15806,NA,12390,NA,171.804347826087,NA,134.67391304347825,NA,78.3879539415412,NA
2018Q3,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,15806,NA,12390,NA,171.804347826087,NA,134.67391304347825,NA,78.3879539415412,NA
2018Q4,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,14852,NA,11765,NA,161.43478260869568,NA,127.88043478260872,NA,79.21492054942097,NA
2018Q4,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,14852,NA,11765,NA,161.43478260869568,NA,127.88043478260872,NA,79.21492054942097,NA
2019Q1,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,14783,NA,11654,NA,164.2555555555556,NA,129.4888888888889,NA,78.83379557599947,NA
2019Q1,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,14783,NA,11654,NA,164.2555555555556,NA,129.4888888888889,NA,78.83379557599947,NA
2019Q2,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,14929,NA,11897,NA,164.05494505494508,NA,130.73626373626377,NA,79.69053519994642,NA
2019Q2,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,14929,NA,11897,NA,164.05494505494508,NA,130.73626373626377,NA,79.69053519994642,NA
2019Q3,NA,SB0801,NA,D102H,NA,Z9,d,All Specialties,d,15392,NA,12067,NA,167.304347826087,NA,131.1630434782609,NA,78.39786902286903,NA
2019Q3,NA,SB0801,NA,SB0801,d,Z9,d,All Specialties,d,15392,NA,12067,NA,167.304347826087,NA,131.1630434782609,NA,78.39786902286903,NA
