date,year,month,hb_key,hb_name,num_attendances,avg_attendances_20171819,destination,destination_prop,avg_prop_20171819
2020-01-01,2020,Jan,NHS Ayrshire and Arran_Jan,NHS Ayrshire and Arran,9111,9176.666666666666,Admission to same facility,0.3082766439909297,0.36018145027599213
2020-01-01,2020,Jan,NHS Ayrshire and Arran_Jan,NHS Ayrshire and Arran,9111,9176.666666666666,Discharged to private provider/died,0.0020408163265306124,0.0018699926649379053
2020-01-01,2020,Jan,NHS Ayrshire and Arran_Jan,NHS Ayrshire and Arran,9111,9176.666666666666,Discharged to private residence,0.6326530612244898,0.5875615879281288
2020-01-01,2020,Jan,NHS Ayrshire and Arran_Jan,NHS Ayrshire and Arran,9111,9176.666666666666,Transferred to another NHS provider,0.013718820861678005,0.018973670914864158
2020-01-01,2020,Jan,NHS Ayrshire and Arran_Jan,NHS Ayrshire and Arran,9111,9176.666666666666,Unknown or other discharge destination,0.043310657596371885,0.03141329821607692
2020-02-01,2020,Feb,NHS Ayrshire and Arran_Feb,NHS Ayrshire and Arran,8285,8519,Admission to same facility,0.31024134050268853,0.35021033175693705
2020-02-01,2020,Feb,NHS Ayrshire and Arran_Feb,NHS Ayrshire and Arran,8285,8519,Discharged to private provider/died,0.002375890959109666,0.0016250693785575504
2020-02-01,2020,Feb,NHS Ayrshire and Arran_Feb,NHS Ayrshire and Arran,8285,8519,Discharged to private residence,0.6259847442791047,0.5961543308159216
2020-02-01,2020,Feb,NHS Ayrshire and Arran_Feb,NHS Ayrshire and Arran,8285,8519,Transferred to another NHS provider,0.018006752532199573,0.01841352307697903
2020-02-01,2020,Feb,NHS Ayrshire and Arran_Feb,NHS Ayrshire and Arran,8285,8519,Unknown or other discharge destination,0.043391271726897586,0.033596744971604746
2020-03-01,2020,Mar,NHS Ayrshire and Arran_Mar,NHS Ayrshire and Arran,7148,9972.333333333334,Admission to same facility,0.3225806451612903,0.33936700175859
2020-03-01,2020,Mar,NHS Ayrshire and Arran_Mar,NHS Ayrshire and Arran,7148,9972.333333333334,Discharged to private provider/died,0.0018805149717922754,0.0016278647961431782
2020-03-01,2020,Mar,NHS Ayrshire and Arran_Mar,NHS Ayrshire and Arran,7148,9972.333333333334,Discharged to private residence,0.6160856357587154,0.6081313108370031
2020-03-01,2020,Mar,NHS Ayrshire and Arran_Mar,NHS Ayrshire and Arran,7148,9972.333333333334,Transferred to another NHS provider,0.015478084767828729,0.01861619596714208
2020-03-01,2020,Mar,NHS Ayrshire and Arran_Mar,NHS Ayrshire and Arran,7148,9972.333333333334,Unknown or other discharge destination,0.04397511934037321,0.0322576266411216
2020-04-01,2020,Apr,NHS Ayrshire and Arran_Apr,NHS Ayrshire and Arran,5403,9909.333333333334,Admission to same facility,0.42763034067381894,0.3207948476923934
2020-04-01,2020,Apr,NHS Ayrshire and Arran_Apr,NHS Ayrshire and Arran,5403,9909.333333333334,Discharged to private provider/died,0.002070393374741201,0.0014357956800735848
2020-04-01,2020,Apr,NHS Ayrshire and Arran_Apr,NHS Ayrshire and Arran,5403,9909.333333333334,Discharged to private residence,0.5179747788443441,0.6217694072929685
2020-04-01,2020,Apr,NHS Ayrshire and Arran_Apr,NHS Ayrshire and Arran,5403,9909.333333333334,Transferred to another NHS provider,0.01279879540749106,0.01838351380809297
2020-04-01,2020,Apr,NHS Ayrshire and Arran_Apr,NHS Ayrshire and Arran,5403,9909.333333333334,Unknown or other discharge destination,0.039525691699604744,0.03761643552647155
2020-05-01,2020,May,NHS Ayrshire and Arran_May,NHS Ayrshire and Arran,7421,10753.333333333334,Admission to same facility,0.41430948419301167,0.3043737409432094
2020-05-01,2020,May,NHS Ayrshire and Arran_May,NHS Ayrshire and Arran,7421,10753.333333333334,Discharged to private provider/died,0.0019412090959511925,0.0013720355407946562
2020-05-01,2020,May,NHS Ayrshire and Arran_May,NHS Ayrshire and Arran,7421,10753.333333333334,Discharged to private residence,0.5241264559068219,0.6385639727790078
