week_ending,hb,hbqf,simd_quintile,admission_type,admission_type_qf,number_admissions,average20182019,percent_variation,hb_name,month,year
2020-01-05,S08000015,NA,1,All,d,368,396,-7.1,NHS Ayrshire and Arran,Jan,2020
2020-01-05,S08000015,NA,2,All,d,249,275,-9.5,NHS Ayrshire and Arran,Jan,2020
2020-01-05,S08000015,NA,3,All,d,167,165.5,0.9,NHS Ayrshire and Arran,Jan,2020
2020-01-05,S08000015,NA,4,All,d,120,123,-2.4,NHS Ayrshire and Arran,Jan,2020
2020-01-05,S08000015,NA,5,All,d,78,115,-32.2,NHS Ayrshire and Arran,Jan,2020
2020-01-05,S08000016,NA,1,All,d,22,25.5,-13.7,NHS Borders,Jan,2020
2020-01-05,S08000016,NA,2,All,d,57,51,11.8,NHS Borders,Jan,2020
2020-01-05,S08000016,NA,3,All,d,97,101,-4,NHS Borders,Jan,2020
2020-01-05,S08000016,NA,4,All,d,83,72,15.3,NHS Borders,Jan,2020
2020-01-05,S08000016,NA,5,All,d,10,16.5,-39.4,NHS Borders,Jan,2020
2020-01-05,S08000017,NA,1,All,d,44,47,-6.4,NHS Dumfries and Galloway,Jan,2020
2020-01-05,S08000017,NA,2,All,d,123,120.5,2.1,NHS Dumfries and Galloway,Jan,2020
2020-01-05,S08000017,NA,3,All,d,130,141,-7.8,NHS Dumfries and Galloway,Jan,2020
2020-01-05,S08000017,NA,4,All,d,54,49,10.2,NHS Dumfries and Galloway,Jan,2020
2020-01-05,S08000017,NA,5,All,d,35,29.5,18.6,NHS Dumfries and Galloway,Jan,2020
2020-01-05,S08000019,NA,1,All,d,183,330.5,-44.6,NHS Forth Valley,Jan,2020
2020-01-05,S08000019,NA,2,All,d,201,334.5,-39.9,NHS Forth Valley,Jan,2020
2020-01-05,S08000019,NA,3,All,d,141,308.5,-54.3,NHS Forth Valley,Jan,2020
2020-01-05,S08000019,NA,4,All,d,124,211.5,-41.4,NHS Forth Valley,Jan,2020
2020-01-05,S08000019,NA,5,All,d,110,197.5,-44.3,NHS Forth Valley,Jan,2020
2020-01-05,S08000020,NA,1,All,d,93,91.5,1.6,NHS Grampian,Jan,2020
2020-01-05,S08000020,NA,2,All,d,227,226.5,0.2,NHS Grampian,Jan,2020
2020-01-05,S08000020,NA,3,All,d,281,257.5,9.1,NHS Grampian,Jan,2020
2020-01-05,S08000020,NA,4,All,d,301,315.5,-4.6,NHS Grampian,Jan,2020
2020-01-05,S08000020,NA,5,All,d,256,254.5,0.6,NHS Grampian,Jan,2020
2020-01-05,S08000022,NA,1,All,d,91,94.5,-3.7,NHS Highland,Jan,2020
2020-01-05,S08000022,NA,2,All,d,126,143.5,-12.2,NHS Highland,Jan,2020
2020-01-05,S08000022,NA,3,All,d,262,242.5,8,NHS Highland,Jan,2020
2020-01-05,S08000022,NA,4,All,d,207,163,27,NHS Highland,Jan,2020
2020-01-05,S08000022,NA,5,All,d,39,46,-15.2,NHS Highland,Jan,2020
2020-01-05,S08000024,NA,1,All,d,361,332.5,8.6,NHS Lothian,Jan,2020
2020-01-05,S08000024,NA,2,All,d,557,496.5,12.2,NHS Lothian,Jan,2020
2020-01-05,S08000024,NA,3,All,d,421,315,33.7,NHS Lothian,Jan,2020
2020-01-05,S08000024,NA,4,All,d,366,329.5,11.1,NHS Lothian,Jan,2020
2020-01-05,S08000024,NA,5,All,d,456,393,16,NHS Lothian,Jan,2020
2020-01-05,S08000025,NA,3,All,d,10,6.5,53.8,NHS Orkney,Jan,2020
2020-01-05,S08000025,NA,4,All,d,24,22,9.1,NHS Orkney,Jan,2020
2020-01-05,S08000026,NA,3,All,d,6,15.5,-61.3,NHS Shetland,Jan,2020
2020-01-05,S08000026,NA,4,All,d,19,18,5.6,NHS Shetland,Jan,2020
2020-01-05,S08000028,NA,2,All,d,8,17,-52.9,NHS Western Isles,Jan,2020
2020-01-05,S08000028,NA,3,All,d,56,64.5,-13.2,NHS Western Isles,Jan,2020
2020-01-05,S08000029,NA,1,All,d,243,255,-4.7,NHS Fife,Jan,2020
2020-01-05,S08000029,NA,2,All,d,222,223,-0.4,NHS Fife,Jan,2020
2020-01-05,S08000029,NA,3,All,d,176,165,6.7,NHS Fife,Jan,2020
2020-01-05,S08000029,NA,4,All,d,156,140,11.4,NHS Fife,Jan,2020
2020-01-05,S08000029,NA,5,All,d,112,117.5,-4.7,NHS Fife,Jan,2020
2020-01-05,S08000030,NA,1,All,d,252,258,-2.3,NHS Tayside,Jan,2020
2020-01-05,S08000030,NA,2,All,d,226,246.5,-8.3,NHS Tayside,Jan,2020
2020-01-05,S08000030,NA,3,All,d,193,223,-13.5,NHS Tayside,Jan,2020
2020-01-05,S08000030,NA,4,All,d,271,259,4.6,NHS Tayside,Jan,2020
2020-01-05,S08000030,NA,5,All,d,189,180.5,4.7,NHS Tayside,Jan,2020
2020-01-05,S08000031,NA,1,All,d,1410,1516.5,-7,NHS Greater Glasgow and Clyde,Jan,2020
2020-01-05,S08000031,NA,2,All,d,745,723,3,NHS Greater Glasgow and Clyde,Jan,2020
2020-01-05,S08000031,NA,3,All,d,527,498.5,5.7,NHS Greater Glasgow and Clyde,Jan,2020
2020-01-05,S08000031,NA,4,All,d,402,448,-10.3,NHS Greater Glasgow and Clyde,Jan,2020
2020-01-05,S08000031,NA,5,All,d,468,479,-2.3,NHS Greater Glasgow and Clyde,Jan,2020
2020-01-05,S08000032,NA,1,All,d,564,553,2,NHS Lanarkshire,Jan,2020
2020-01-05,S08000032,NA,2,All,d,451,467,-3.4,NHS Lanarkshire,Jan,2020
2020-01-05,S08000032,NA,3,All,d,290,288,0.7,NHS Lanarkshire,Jan,2020
2020-01-05,S08000032,NA,4,All,d,197,199.5,-1.3,NHS Lanarkshire,Jan,2020
2020-01-05,S08000032,NA,5,All,d,134,136.5,-1.8,NHS Lanarkshire,Jan,2020
2020-01-05,S92000003,d,1,All,d,3632,3900.5,-6.9,Scotland,Jan,2020
2020-01-05,S92000003,d,2,All,d,3199,3334.5,-4.1,Scotland,Jan,2020
2020-01-05,S92000003,d,3,All,d,2757,2792,-1.3,Scotland,Jan,2020
2020-01-05,S92000003,d,4,All,d,2325,2351.5,-1.1,Scotland,Jan,2020
2020-01-05,S92000003,d,5,All,d,1887,1967,-4.1,Scotland,Jan,2020
2020-01-12,S08000015,NA,1,All,d,448,419,6.9,NHS Ayrshire and Arran,Jan,2020
2020-01-12,S08000015,NA,2,All,d,264,284,-7,NHS Ayrshire and Arran,Jan,2020
2020-01-12,S08000015,NA,3,All,d,156,209.5,-25.5,NHS Ayrshire and Arran,Jan,2020
2020-01-12,S08000015,NA,4,All,d,117,141.5,-17.3,NHS Ayrshire and Arran,Jan,2020
2020-01-12,S08000015,NA,5,All,d,101,114.5,-11.8,NHS Ayrshire and Arran,Jan,2020
2020-01-12,S08000016,NA,1,All,d,14,14,0,NHS Borders,Jan,2020
2020-01-12,S08000016,NA,2,All,d,50,60.5,-17.4,NHS Borders,Jan,2020
2020-01-12,S08000016,NA,3,All,d,97,108,-10.2,NHS Borders,Jan,2020
2020-01-12,S08000016,NA,4,All,d,63,66.5,-5.3,NHS Borders,Jan,2020
2020-01-12,S08000016,NA,5,All,d,11,17.5,-37.1,NHS Borders,Jan,2020
2020-01-12,S08000017,NA,1,All,d,44,58,-24.1,NHS Dumfries and Galloway,Jan,2020
2020-01-12,S08000017,NA,2,All,d,121,127.5,-5.1,NHS Dumfries and Galloway,Jan,2020
2020-01-12,S08000017,NA,3,All,d,172,180,-4.4,NHS Dumfries and Galloway,Jan,2020
2020-01-12,S08000017,NA,4,All,d,67,74.5,-10.1,NHS Dumfries and Galloway,Jan,2020
2020-01-12,S08000017,NA,5,All,d,41,31,32.3,NHS Dumfries and Galloway,Jan,2020
2020-01-12,S08000019,NA,1,All,d,202,296.5,-31.9,NHS Forth Valley,Jan,2020
2020-01-12,S08000019,NA,2,All,d,206,326,-36.8,NHS Forth Valley,Jan,2020
2020-01-12,S08000019,NA,3,All,d,143,285.5,-49.9,NHS Forth Valley,Jan,2020
2020-01-12,S08000019,NA,4,All,d,124,231.5,-46.4,NHS Forth Valley,Jan,2020
2020-01-12,S08000019,NA,5,All,d,126,175,-28,NHS Forth Valley,Jan,2020
2020-01-12,S08000020,NA,1,All,d,115,113,1.8,NHS Grampian,Jan,2020
2020-01-12,S08000020,NA,2,All,d,250,267,-6.4,NHS Grampian,Jan,2020
2020-01-12,S08000020,NA,3,All,d,314,300.5,4.5,NHS Grampian,Jan,2020
2020-01-12,S08000020,NA,4,All,d,372,383,-2.9,NHS Grampian,Jan,2020
2020-01-12,S08000020,NA,5,All,d,273,290.5,-6,NHS Grampian,Jan,2020
2020-01-12,S08000022,NA,1,All,d,105,91.5,14.8,NHS Highland,Jan,2020
