month,date,year,country,hbt,treatment_location,department_type,number_of_attendances_aggregate,number_of_attendances_episode,number_of_attendances_episode_qf,number_meeting_target_aggregate,number_meeting_target_episode,number_meeting_target_episode_qf,discharge_destination_admission_to_same,discharge_destination_admission_to_same_qf,discharge_destination_other_specialty,discharge_destination_other_specialty_qf,discharge_destination_residence,discharge_destination_residence_qf,discharge_destination_transfer,discharge_destination_transfer_qf,discharge_destination_unknown,discharge_destination_unknown_qf,attendance_greater8hrs,attendance_greater8hrs_qf,attendance_greater12hrs,attendance_greater12hrs_qf,percent_4hr_target_achieved
200707,2007-07-01,2007,S92000003,S08000015,A101H,Minor Injury Unit or Other,252,NA,z,252,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000015,A111H,Emergency Department,5414,5414,NA,5290,5290,NA,1985,NA,11,NA,3374,NA,44,NA,0,NA,26,NA,24,NA,97.70964166974511
200707,2007-07-01,2007,S92000003,S08000015,A207H,Minor Injury Unit or Other,92,NA,z,92,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000015,A210H,Emergency Department,3530,3530,NA,3355,3355,NA,106,NA,0,NA,3369,NA,8,NA,47,NA,3,NA,1,NA,95.04249291784703
200707,2007-07-01,2007,S92000003,S08000016,B103H,Minor Injury Unit or Other,20,NA,z,20,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000016,B105H,Minor Injury Unit or Other,105,NA,z,105,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000016,B114H,Minor Injury Unit or Other,31,NA,z,31,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000016,B118H,Minor Injury Unit or Other,87,NA,z,87,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000016,B120H,Emergency Department,1823,1823,NA,1804,1804,NA,571,NA,1,NA,1033,NA,27,NA,191,NA,0,NA,0,NA,98.95776193088317
200707,2007-07-01,2007,S92000003,S08000017,Y101H,Minor Injury Unit or Other,86,NA,z,86,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000017,Y106H,Minor Injury Unit or Other,83,NA,z,83,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000017,Y109H,Minor Injury Unit or Other,7,NA,z,7,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000017,Y110H,Minor Injury Unit or Other,85,NA,z,85,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000017,Y144H,Emergency Department,1189,NA,z,1167,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,98.14970563498738
200707,2007-07-01,2007,S92000003,S08000017,Y146H,Emergency Department,2970,2970,NA,2862,2862,NA,900,NA,5,NA,1984,NA,19,NA,62,NA,0,NA,0,NA,96.36363636363636
200707,2007-07-01,2007,S92000003,S08000029,F704H,Emergency Department,3912,3912,NA,3703,3703,NA,677,NA,53,NA,3051,NA,33,NA,98,NA,6,NA,1,NA,94.65746421267893
200707,2007-07-01,2007,S92000003,S08000029,F708H,Minor Injury Unit or Other,174,NA,z,174,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000029,F709H,Minor Injury Unit or Other,282,NA,z,282,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000029,F805H,Emergency Department,3638,3638,NA,3570,3570,NA,762,NA,152,NA,2655,NA,38,NA,31,NA,2,NA,0,NA,98.13084112149532
200707,2007-07-01,2007,S92000003,S08000019,V102H,Minor Injury Unit or Other,1772,1772,NA,1768,1768,NA,0,NA,0,NA,1283,NA,199,NA,290,NA,0,NA,0,NA,99.77426636568849
200707,2007-07-01,2007,S92000003,S08000019,V201H,Emergency Department,4195,4195,NA,4003,4003,NA,1133,NA,14,NA,2421,NA,34,NA,593,NA,5,NA,1,NA,95.42312276519667
200707,2007-07-01,2007,S92000003,S08000020,N101H,Emergency Department,5312,5312,NA,5168,5168,NA,1236,NA,29,NA,3918,NA,97,NA,32,NA,8,NA,0,NA,97.28915662650603
200707,2007-07-01,2007,S92000003,S08000020,N121H,Emergency Department,1333,1333,NA,1324,1324,NA,335,NA,0,NA,997,NA,1,NA,0,NA,0,NA,0,NA,99.32483120780195
200707,2007-07-01,2007,S92000003,S08000020,N151H,Minor Injury Unit or Other,72,NA,z,72,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000020,N331H,Minor Injury Unit or Other,40,NA,z,40,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000020,N332H,Minor Injury Unit or Other,62,NA,z,62,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000020,N333H,Minor Injury Unit or Other,1114,NA,z,1113,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.91023339317773
200707,2007-07-01,2007,S92000003,S08000020,N334H,Minor Injury Unit or Other,904,NA,z,898,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.33628318584071
200707,2007-07-01,2007,S92000003,S08000020,N335H,Minor Injury Unit or Other,279,NA,z,277,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,99.2831541218638
200707,2007-07-01,2007,S92000003,S08000020,N336H,Minor Injury Unit or Other,178,NA,z,178,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000020,N337H,Minor Injury Unit or Other,359,NA,z,359,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000020,N411H,Emergency Department,1925,1925,NA,1850,1850,NA,465,NA,3,NA,1409,NA,22,NA,26,NA,1,NA,1,NA,96.1038961038961
200707,2007-07-01,2007,S92000003,S08000020,N431H,Minor Injury Unit or Other,107,NA,z,107,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000020,N432H,Minor Injury Unit or Other,37,NA,z,37,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000020,N433H,Minor Injury Unit or Other,113,NA,z,113,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000020,N434H,Minor Injury Unit or Other,62,NA,z,62,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000020,N451H,Minor Injury Unit or Other,32,NA,z,32,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
200707,2007-07-01,2007,S92000003,S08000020,N494H,Minor Injury Unit or Other,153,153,NA,153,153,NA,0,NA,0,NA,130,NA,23,NA,0,NA,0,NA,0,NA,100
200707,2007-07-01,2007,S92000003,S08000031,C206H,Minor Injury Unit or Other,1382,1382,NA,1354,1354,NA,348,NA,3,NA,963,NA,65,NA,3,NA,1,NA,1,NA,97.9739507959479
200707,2007-07-01,2007,S92000003,S08000031,C313H,Emergency Department,2693,2693,NA,2648,2648,NA,550,NA,6,NA,1973,NA,34,NA,130,NA,1,NA,0,NA,98.32900111399925
200707,2007-07-01,2007,S92000003,S08000031,C418H,Emergency Department,5479,5479,NA,5324,5324,NA,1473,NA,9,NA,3624,NA,58,NA,315,NA,4,NA,0,NA,97.17101660887023
200707,2007-07-01,2007,S92000003,S08000031,G107H,Emergency Department,6200,6200,NA,5951,5951,NA,1697,NA,16,NA,4054,NA,115,NA,318,NA,6,NA,2,NA,95.98387096774194
200707,2007-07-01,2007,S92000003,S08000031,G207H,Emergency Department,3390,3390,NA,3264,3264,NA,1014,NA,2,NA,2203,NA,30,NA,141,NA,1,NA,0,NA,96.28318584070796
200707,2007-07-01,2007,S92000003,S08000031,G306H,Emergency Department,5864,5864,NA,5744,5744,NA,1583,NA,14,NA,4043,NA,137,NA,87,NA,1,NA,0,NA,97.95361527967258
200707,2007-07-01,2007,S92000003,S08000031,G405H,Emergency Department,4186,4186,NA,3952,3952,NA,1094,NA,11,NA,2927,NA,38,NA,116,NA,4,NA,0,NA,94.40993788819875
200707,2007-07-01,2007,S92000003,S08000031,G513H,Emergency Department,2981,2981,NA,2942,2942,NA,524,NA,3,NA,2438,NA,5,NA,11,NA,1,NA,0,NA,98.69171418986917
200707,2007-07-01,2007,S92000003,S08000031,G516H,Emergency Department,5040,5040,NA,4529,4529,NA,1607,NA,19,NA,2917,NA,116,NA,381,NA,40,NA,6,NA,89.86111111111111
200707,2007-07-01,2007,S92000003,S08000022,C103B,Minor Injury Unit or Other,401,NA,z,401,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,100
