month,country,hbt,treatment_location,department_type,number_of_attendances_aggregate,number_of_attendances_episode,number_of_attendances_episode_qf,number_meeting_target_aggregate,number_meeting_target_episode,number_meeting_target_episode_qf,discharge_destination_admission_to_same,discharge_destination_admission_to_same_qf,discharge_destination_other_specialty,discharge_destination_other_specialty_qf,discharge_destination_residence,discharge_destination_residence_qf,discharge_destination_transfer,discharge_destination_transfer_qf,discharge_destination_unknown,discharge_destination_unknown_qf,attendance_greater8hrs,attendance_greater8hrs_qf,attendance_greater12hrs,attendance_greater12hrs_qf,date,quarter,prop_admission_to_same,prop_other_speciality,prop_residence,prop_transfer,prop_unknown
200707,S92000003,S08000015,A101H,Minor Injury Unit or Other,252,NA,z,252,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000015,A111H,Emergency Department,5414,5414,NA,5290,5290,NA,1985,NA,11,NA,3374,NA,44,NA,0,NA,26,NA,24,NA,2007-07-01,3,0.3666420391577392,0.002031769486516439,0.6231991134096786,0.008127077946065755,0
200707,S92000003,S08000015,A207H,Minor Injury Unit or Other,92,NA,z,92,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000015,A210H,Emergency Department,3530,3530,NA,3355,3355,NA,106,NA,0,NA,3369,NA,8,NA,47,NA,3,NA,1,NA,2007-07-01,3,0.03002832861189802,0,0.9543909348441927,0.0022662889518413596,0.013314447592067988
200707,S92000003,S08000016,B103H,Minor Injury Unit or Other,20,NA,z,20,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000016,B105H,Minor Injury Unit or Other,105,NA,z,105,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000016,B114H,Minor Injury Unit or Other,31,NA,z,31,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000016,B118H,Minor Injury Unit or Other,87,NA,z,87,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000016,B120H,Emergency Department,1823,1823,NA,1804,1804,NA,571,NA,1,NA,1033,NA,27,NA,191,NA,0,NA,0,NA,2007-07-01,3,0.3132199670872189,5.485463521667581e-4,0.5666483817882612,0.014810751508502468,0.1047723532638508
200707,S92000003,S08000017,Y101H,Minor Injury Unit or Other,86,NA,z,86,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000017,Y106H,Minor Injury Unit or Other,83,NA,z,83,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000017,Y109H,Minor Injury Unit or Other,7,NA,z,7,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000017,Y110H,Minor Injury Unit or Other,85,NA,z,85,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000017,Y144H,Emergency Department,1189,NA,z,1167,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000017,Y146H,Emergency Department,2970,2970,NA,2862,2862,NA,900,NA,5,NA,1984,NA,19,NA,62,NA,0,NA,0,NA,2007-07-01,3,0.30303030303030304,0.0016835016835016834,0.6680134680134681,0.006397306397306397,0.020875420875420877
200707,S92000003,S08000029,F704H,Emergency Department,3912,3912,NA,3703,3703,NA,677,NA,53,NA,3051,NA,33,NA,98,NA,6,NA,1,NA,2007-07-01,3,0.17305725971370142,0.0135480572597137,0.7799079754601227,0.00843558282208589,0.025051124744376277
200707,S92000003,S08000029,F708H,Minor Injury Unit or Other,174,NA,z,174,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000029,F709H,Minor Injury Unit or Other,282,NA,z,282,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000029,F805H,Emergency Department,3638,3638,NA,3570,3570,NA,762,NA,152,NA,2655,NA,38,NA,31,NA,2,NA,0,NA,2007-07-01,3,0.20945574491478836,0.04178119846069269,0.7297965915338098,0.010445299615173173,0.008521165475536009
200707,S92000003,S08000019,V102H,Minor Injury Unit or Other,1772,1772,NA,1768,1768,NA,0,NA,0,NA,1283,NA,199,NA,290,NA,0,NA,0,NA,2007-07-01,3,0,0,0.7240406320541761,0.11230248306997742,0.1636568848758465
200707,S92000003,S08000019,V201H,Emergency Department,4195,4195,NA,4003,4003,NA,1133,NA,14,NA,2421,NA,34,NA,593,NA,5,NA,1,NA,2007-07-01,3,0.2700834326579261,0.0033373063170441,0.5771156138259833,0.008104886769964244,0.14135876042908224
200707,S92000003,S08000020,N101H,Emergency Department,5312,5312,NA,5168,5168,NA,1236,NA,29,NA,3918,NA,97,NA,32,NA,8,NA,0,NA,2007-07-01,3,0.23268072289156627,0.005459337349397591,0.7375753012048193,0.0182605421686747,0.006024096385542169
200707,S92000003,S08000020,N121H,Emergency Department,1333,1333,NA,1324,1324,NA,335,NA,0,NA,997,NA,1,NA,0,NA,0,NA,0,NA,2007-07-01,3,0.25131282820705175,0,0.7479369842460615,7.501875468867217e-4,0
200707,S92000003,S08000020,N151H,Minor Injury Unit or Other,72,NA,z,72,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000020,N331H,Minor Injury Unit or Other,40,NA,z,40,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000020,N332H,Minor Injury Unit or Other,62,NA,z,62,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000020,N333H,Minor Injury Unit or Other,1114,NA,z,1113,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000020,N334H,Minor Injury Unit or Other,904,NA,z,898,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000020,N335H,Minor Injury Unit or Other,279,NA,z,277,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000020,N336H,Minor Injury Unit or Other,178,NA,z,178,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000020,N337H,Minor Injury Unit or Other,359,NA,z,359,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000020,N411H,Emergency Department,1925,1925,NA,1850,1850,NA,465,NA,3,NA,1409,NA,22,NA,26,NA,1,NA,1,NA,2007-07-01,3,0.24155844155844156,0.0015584415584415584,0.7319480519480519,0.011428571428571429,0.013506493506493506
200707,S92000003,S08000020,N431H,Minor Injury Unit or Other,107,NA,z,107,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000020,N432H,Minor Injury Unit or Other,37,NA,z,37,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000020,N433H,Minor Injury Unit or Other,113,NA,z,113,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000020,N434H,Minor Injury Unit or Other,62,NA,z,62,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000020,N451H,Minor Injury Unit or Other,32,NA,z,32,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,NA,z,2007-07-01,3,NA,NA,NA,NA,NA
200707,S92000003,S08000020,N494H,Minor Injury Unit or Other,153,153,NA,153,153,NA,0,NA,0,NA,130,NA,23,NA,0,NA,0,NA,0,NA,2007-07-01,3,0,0,0.8496732026143791,0.1503267973856209,0
200707,S92000003,S08000031,C206H,Minor Injury Unit or Other,1382,1382,NA,1354,1354,NA,348,NA,3,NA,963,NA,65,NA,3,NA,1,NA,1,NA,2007-07-01,3,0.25180897250361794,0.002170767004341534,0.6968162083936325,0.04703328509406657,0.002170767004341534
200707,S92000003,S08000031,C313H,Emergency Department,2693,2693,NA,2648,2648,NA,550,NA,6,NA,1973,NA,34,NA,130,NA,1,NA,0,NA,2007-07-01,3,0.20423319717786856,0.0022279985146676567,0.7326401782398811,0.012625324916450055,0.04827330115113257
200707,S92000003,S08000031,C418H,Emergency Department,5479,5479,NA,5324,5324,NA,1473,NA,9,NA,3624,NA,58,NA,315,NA,4,NA,0,NA,2007-07-01,3,0.2688446796860741,0.001642635517430188,0.6614345683518891,0.0105858733345501,0.05749224311005658
200707,S92000003,S08000031,G107H,Emergency Department,6200,6200,NA,5951,5951,NA,1697,NA,16,NA,4054,NA,115,NA,318,NA,6,NA,2,NA,2007-07-01,3,0.2737096774193548,0.0025806451612903226,0.6538709677419355,0.018548387096774192,0.05129032258064516
200707,S92000003,S08000031,G207H,Emergency Department,3390,3390,NA,3264,3264,NA,1014,NA,2,NA,2203,NA,30,NA,141,NA,1,NA,0,NA,2007-07-01,3,0.2991150442477876,5.899705014749262e-4,0.6498525073746313,0.008849557522123894,0.0415929203539823
200707,S92000003,S08000031,G306H,Emergency Department,5864,5864,NA,5744,5744,NA,1583,NA,14,NA,4043,NA,137,NA,87,NA,1,NA,0,NA,2007-07-01,3,0.26995225102319237,0.0023874488403819918,0.6894611186903138,0.023362892223738062,0.014836289222373806
200707,S92000003,S08000031,G405H,Emergency Department,4186,4186,NA,3952,3952,NA,1094,NA,11,NA,2927,NA,38,NA,116,NA,4,NA,0,NA,2007-07-01,3,0.26134734830387,0.0026278069756330625,0.699235547061634,0.009077878643096034,0.02771141901576684
200707,S92000003,S08000031,G513H,Emergency Department,2981,2981,NA,2942,2942,NA,524,NA,3,NA,2438,NA,5,NA,11,NA,1,NA,0,NA,2007-07-01,3,0.17577993961757798,0.0010063737001006373,0.8178463602817846,0.0016772895001677288,0.0036900369003690036
