loc_name,dqNotesIP,dqNotesOP,dqNotesBeds
National Waiting Times Centre,"SMR01 completeness for the National Waiting Times Centre (NWTC) for quarter ending December 2021 was 99%.

Increases were seen in all inpatient and day case activity except elective admissions when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions. However, it should be noted that any changes are based on relatively small numbers, which will impact on the percentage change.

During the pandemic, the Golden Jubilee National Hospital has been broadening its scope of work and has been receiving a lot of new activity from other NHS boards, much of it relating to cancer patients, as well as from different specialties such as: Ear, Nose & Throat (ENT); Gynaecology; Urology; and Women and Newborn and Dental Groupings.","SMR00 completeness (new attendances only) for the NWTC for the quarter ending December 2021 was 100%.

Increases were seen in all outpatient activity when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions. However, it should be noted that any changes are based on relatively small numbers which will impact on the percentage change.

A significant increase in outpatient activity was seen in the quarter ending September 2021. Data management has advised that this was a planned increase in activity.","Increases were seen in the number of average available staffed beds when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions. However, it should be noted that any changes are based on relatively small numbers which will impact on the percentage change. Percentage occupancy declined slightly over the same comparison period.

Golden Jubilee National Hospital has previously advised that it significantly reduced non-urgent activity due to the COVID-19 pandemic. This resulted in temporary ward changes and service reconfigurations, which in turn led to less orthopaedic and general inpatient beds, but significantly more temporary available Cardiology inpatient beds. Golden Jubilee National Hospital continues to provide urgent surgical cancer services with surgical cancer patients bedded in various specialities.

During the pandemic, the Golden Jubilee National Hospital has been broadening its scope of work and has been receiving a lot of new activity from other NHS boards, much of it relating to cancer patients, and also from different specialties such as Ear, Nose & Throat (ENT), Gynaecology, Urology, and both the Women and Newborn and Dental groupings."
NHS Ayrshire & Arran,"SMR01 completeness for NHS Ayrshire & Arran for the quarter ending December 2021 was 100%.

Decreases were seen in overall inpatient and day case activity when comparing October-December 2021 to the same quarter last year. Day case activity decreased, while emergency and elective admissions increased. This is most likely due to the impact of COVID-19 on NHS services.

Declines have been seen in Emergency Trauma and Orthopaedic Surgery at University Hospital Ayr, while corresponding increases in activity have been observed at University Hospital Crosshouse. Data Management is currently investigating this with the board.","SMR00 completeness (new attendances only) for NHS Ayrshire & Arran for the quarter ending December 2021 was 100%.

Increases were seen in all outpatient activity when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.","Increases were seen in the number of average available staffed beds and percentage occupancy when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

Prior to the pandemic, NHS Ayrshire and Arran previously advised that it had closed a number of beds in Ailsa, University Hospital Ayr, University Hospital Crosshouse and East Community Ayrshire, which accounted for some of the historic reduction of available staff bed days. Health and Social Care Partnerships and Acute Services put in place a number of measures to sustain keeping these beds closed.

Declines have been seen in Trauma and Orthopaedic Surgery beds within University Hospital Ayr, while corresponding increases in these beds have been observed in University Hospital Crosshouse. Data Management is currently investigating this with the board."
NHS Borders,"SMR01 completeness for NHS Borders for the quarter ending December 2021 was 100%.

Increases were seen in all inpatient and day case activity except emergency admissions when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

Large increases have been observed for Geriatric Medicine from April 2019 onwards. NHS Borders has advised that the significant changes being seen in Geriatric Medicine are due to changes in the pathways/model of care for patients, such as additional wards, reduction in average length of stays and the doubling of the bed complement. This has meant that more patients have been transferred to and discharged from Geriatric Medicine. NHS Borders also had an Older People's Assessment Unit pilot running in February and March 2020 with 14 additional beds. In addition, this increased activity could be potentially inflated due to staff not ticking the 'not on medical grounds' box when they transfer care within TrakCare.","SMR00 completeness for NHS Borders (new attendances only) for the quarter ending December 2021 was 100%.

Increases were seen in all outpatient and new outpatient activity when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions. A slight decrease was seen in return outpatients. 

Unusual patterns have been seen in NHS Borders outpatient data in previous quarters. The reasons for these patterns are not yet known, and they are currently being investigated.","Increases were seen in the number of average available staffed beds and percentage occupancy when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

Prior to the pandemic, NHS Borders previously said that it had closed a number of beds over the course of 2018/19 as it progressed work to prevent admissions and care for people at home in line with its transformation programme. NHS Borders also advised that it managed to reduce the length of stay in acute hospital admissions and that occupied bed days have gone down, so occupancy had reduced.

In February and March 2020, NHS Borders set up a new pathway for Geriatric Medicine, and this increased general acute beds. In response to COVID-19, the bed complements changed in general acute wards and general medical wards. 

Large increases have been observed in beds activity for the Mental Health specialties when comparing October-December 2021 to the same quarter last year. Data Management has advised that the bed complement is inaccurate for November 2021. NHS Borders will resubmit, and the updated figures will be reflected in the next file update."
NHS Dumfries & Galloway,"SMR01 completeness for NHS Dumfries & Galloway for the quarter ending December 2021 was 95%. Data Management has advised that improvements have been made for this quarter and previous quarters, but there is still a small backlog for the recent quarter attributable to resource availability.

Decreases were seen in all inpatient and day case activity except emergency admissions when comparing October-December 2021 to the same quarter last year. This is most likely due to the small backlog and the impact of COVID-19 on NHS services.

Dumfries & Galloway Royal Infirmary (Y104H) moved location in December 2017, and activity is now recorded under a new code: Y146H. The name remains 'Dumfries & Galloway Royal Infirmary'. To ensure that no activity is missed, and to allow trends to be presented, the two hospital codes Y146H and Y104H (for SMR01 and SMR00 activity) are combined in our analyses under Y146H. The old site (Y104H) still exists and is now a treatment centre named 'Mountainhall Treatment Centre'. This new activity will be reported separately under a new code (Y177C), which came into effect in December 2017.","SMR00 completeness (new attendances only) for NHS Dumfries & Galloway for the quarter ending December 2021 was 90%. The SMR00 backlog that has been accumulating from April 2020 onwards has been traced to a reference file issue. NHS Dumfries and Galloway has recently submitted a substantial number of records which will be reflected in the figures at the next file update. The board is checking the backlog report they provide for accuracy.

Increases were seen in all outpatient activity when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

Dumfries & Galloway Royal Infirmary (Y104H) moved location in December 2017, and activity is now recorded under a new code: Y146H. The name remains 'Dumfries & Galloway Royal Infirmary'. To ensure that no activity is missed, and to allow trends to be presented, the two hospital codes Y146H and Y104H (for SMR01 and SMR00 activity) are combined in our analyses under Y146H. The old site (Y104H) still exists and is now a treatment centre named 'Mountainhall Treatment Centre'. This new activity will be reported separately under a new code (Y177C), which came into effect in December 2017.","Decreases were seen in the number of average available staffed beds for acute specialties, while the number of average available staffed beds for all specialties increased when comparing October-December 2021 to the same quarter last year. This may be due to the board reconfiguring how it allocates beds to specific specialties. For example, some hospitals have swapped between recording their activity as Geriatric Medicine (Acute specialty grouping) to GP Other Than Obstetrics (Community specialty grouping). Data Management is currently investigating this with the board.

The percentage occupancy increased when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions."
NHS Fife,"SMR01 completeness for NHS Fife for the quarter ending December 2021 was 97%.

Increases were seen in overall inpatient and day case activity when comparing October-December 2021 to the same quarter last year. Emergency activity increased, while elective admissions decreased slightly. This is most likely due to the impact of COVID-19 on NHS services.","SMR00 completeness (new attendances only) for NHS Fife for the quarter ending December 2021 was 100%.

Increases were seen in all outpatient activity when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.","Increases were seen in the number of average available staffed beds and percentage occupancy when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

From 2020 onwards, increases have been observed in beds activity for Geriatric Medicine - Long Stay Unit, Ear, Nose & Throat (ENT), Urology and Midwifery specialties. For Geriatric Medicine - Long Stay Unit, the board has confirmed that a previously closed ward opened up for geriatric medicine; effectively doubling the beds. For ENT, activity from July 2020 onwards has since returned to previous levels. Decreases from April 2020 onwards have been seen in beds activity for the Endocrinology & Diabetes specialty. Data Management has advised that this is due to the impact of COVID-19, reduced activity and focusing more on priority services/specialties.  "
NHS Forth Valley,"SMR01 completeness for NHS Forth Valley for the quarter ending December 2021 was 96%.

Increases were seen in all inpatient and day case activity except elective admissions when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

Data Management has advised that since NHS Forth Valley's move onto TrakCare, there has been an increase in the number of SMR01 records submitted. Data Management informed that this is down to how the system is used. When a patient is moving consultant, a box can be ticked for 'not on medical grounds': if this is not ticked, an additional SMR is generated. 

In addition, Combined Assessment Unit (CAU) activity previously recorded in SMR00 is now being recorded in SMR01 and is increasing the numbers of emergency admission SMR01 records submitted.","SMR00 completeness (new attendances only) for NHS Forth Valley for quarter ending December 2021 was 97%.

Increases were seen in all outpatient activity when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

Large increases have been seen in NHS Forth Valley's General Psychiatry and Psychiatry Of Old Age specialties for return outpatients from spring/summer 2020 onwards. The board has advised that it has started to record more clinics since its move to TrakCare in 2019. In addition, the demand for services has grown.

Data Management identified a small amount of outpatient data, submitted by the board, for Forth Valley patients being treated at the National Waiting Times Centre (NWTC). Data Management asked the board to remove this, as the activity had been submitted on SMR01 by the NWTC. The data related to endoscopy activity. Data Management has now removed these records sent by NHS Forth Valley.","Increases were seen in the number of average available staffed beds and percentage occupancy when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

From April 2019 onwards, large bed increases have been observed. This is spread across several specialties but particularly in Mental Health, General Surgery and Gynaecology specialties. There has since been a reduction in beds for the Mental Health and General Surgery specialties from July 2020 onwards, but this has not happened in Gynaecology. In addition, decreases have been seen in the Geriatric Medicine - Long Stay Unit specialty since 2019/20. NHS Forth Valley has previously advised that it has identified a problem with the recording of some of its bed numbers. This is being investigated as a priority."
NHS Grampian,"SMR01 completeness for NHS Grampian for the quarter ending December 2021 was 98%.

Increases were seen in all inpatient and day case activity except elective admissions when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

During the pandemic, large increases have been observed in the Infectious Diseases, Respiratory Medicine and Intensive Care Medicine specialties. Data Management has advised that these increases are due to COVID activity and cases being coded under these specialties.

Increases have been observed for the Clinical Oncology specialty when comparing October-December 2021 to the same quarter last year. Data Management is currently investigating this with the board but has previously advised that there has been a joining-up of Oncology services within the board.

A new location code (N501H) was introduced to differentiate between care home activity recorded under (N124R) Rosewell House and the NHS hospital activity (N501H) - Rosewell House (NHS Wards). For inpatient and day case activity, the records previously submitted for N124R (Rosewell House - Care Home) from the end of January 2021 have been resubmitted under N501H (Rosewell House - NHS Activity).","SMR00 completeness (new attendances only) for NHS Grampian for the quarter ending December 2021 was 100%.

Increases were seen in all outpatient activity when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

Increases have been observed in return attendances for the Clinical Oncology specialty when comparing October-December 2021 to the same quarter last year. Data Management is currently investigating this with the board but has previously advised that there has been a joining-up of Oncology services within the board.","Increases were seen in the number of average available staffed beds and percentage occupancy when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

Large increases have been observed in beds activity for the Infectious Diseases specialty from April 2020 onwards. These increases are likely due to the return of services, COVID-19 activity and cases being coded under Infectious Diseases.

Increases have been observed in beds activity for the Clinical Oncology specialty with corresponding decreases in the recording of Medical Oncology data when comparing October-December 2021 to the same quarter last year. Data Management has advised that this is due to the joining-up of Oncology services within the board.

From July 2020 onwards, reductions in beds activity for Dr Gray's Hospital have been observed, particularly within the Obstetrics specialty. Data Management has said that there has been a drop in the bed complement.

A new location code (N501H) has been introduced to differentiate between care home activity recorded under (N124R) Rosewell House and the NHS hospital activity (N501H) - Rosewell House (NHS Wards). For beds activity, both hospital codes have been added together to ensure no activity is missed during this transition period."
NHS Greater Glasgow & Clyde,"SMR01 completeness for NHS Greater Glasgow & Clyde for the quarter ending December 2021 was 99%.

Increases were seen in all inpatient and day case activity except elective admissions when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

Large increases have been seen in day cases for the Gastroenterology specialty with corresponding decreases in the inpatient cases. Data Management has advised that this is most likely due to the pandemic and looking to reduce hospital stays by undertaking as day cases instead.","SMR00 completeness (new attendances only) for NHS Greater Glasgow & Clyde for the quarter ending December 2021 was 100%.

Increases were seen in all outpatient activity when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

There has been no Paediatrics specialty activity within the Royal Alexandra Hospital from January 2021 onwards. Data Management has advised that this location now has very little activity for Paediatrics since the Panda Centre moved to Royal Hospital for Children.",Increases were seen in the number of average available staffed beds and percentage occupancy when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.
NHS Highland,"SMR01 completeness for NHS Highland for the quarter ending December 2021 was 96%.                

Decreases were seen in all inpatient activity when comparing October-December 2021 to the same quarter last year. This is most likely due to the impact of COVID-19 on NHS services.","SMR00 completeness (new attendances only) for NHS Highland for the quarter ending December 2021 was 100%.

Increases were seen in outpatient activity when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

Lorn & Islands Hospital is now reporting Gastroenterology activity as of quarter ending December 2021. Data Management has advised that a locum service started to address the previous lack of service.

NHS Highland has experienced ongoing reporting issues due to the way in which some outpatient clinics are configured in TrakCare. In many cases, these issues have the potential to impact on both SMR00 and ISD(S)1 outpatients reporting, impacting on the national figures published. Although work is ongoing to address these issues, system restrictions within TrakCare mean that there is no functionality available to correct ad hoc clinic templates, nor make retrospective revisions to SMR00 or ISD(S)1 for attendances linked to ad hoc clinics. The ISD(S)1 Card Class 4 activity used in the analysis of return outpatients is essentially based on a snapshot of NHS Highland's position as at the end of each quarter. It should be noted NHS Highland is not in a position to submit revisions to the snapshot until such time as the clinic configuration issues mentioned above are completely resolved.

As part of a local cost improvement project back in January 2019, it was discovered that Dermatology patients seen at Raigmore Hospital's Dermatology Treatment Centre were not being captured in TrakCare. The issue has since been addressed, and the activity has been reported from April 2019 onwards. As highlighted above, NHS Highland is unable to retrospectively report any data prior to April 2019.","Increases were seen in the number of average available staffed beds and percentage occupancy when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

Beds activity for the Infectious Diseases specialty has only been present from April 2021 onwards. Data Management is currently investigating this with the board to confirm whether this is COVID-19 activity where cases are being coded under Infectious Diseases.

Due to ongoing system limitations, the bed data submitted from the quarter ending December 2015 up to June 2019 is subject to quality and completeness issues; therefore, caution should be taken when interpreting the figures published. A solution introduced in June 2019 has significantly improved the situation, however NHS Highland continues to experience ongoing data quality issues affecting the available bed figures due to the management of bed restrictions and contingency beds.  NHS Highland is actively working to improve performance by investigating and addressing these issues with the areas concerned."
NHS Lanarkshire,"SMR01 completeness for NHS Lanarkshire for the quarter ending December 2021 was 99%.

Increases were seen in all inpatient and day case activity except a slight decrease in elective admissions when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

Large increases have been observed for Geriatric Medicine emergency episodes from July 2020 onwards. Data Management is currently querying this issue with the board but has advised that it may be attributable to more older people seeking emergency treatment.","SMR00 completeness (new attendances only) for NHS Lanarkshire for the quarter ending December 2021 was 99%.

Increases were seen in all outpatient activity when comparing October-December 2021 to the same quarter last year. This is most likely due to the return of services following the easing of COVID-19 restrictions.

University Hospital Wishaw has had no medical oncology activity from Jan 2021 onwards. Data Management has advised that this activity has moved to University Hospital Monklands.

Data Management has been in discussion with NHS Lanarkshire about an increase in Renal Medicine (AG) return activity since November 2018. This activity is related to Haemodialysis appointments and should not have been recorded on SMR00. Data Management has since informed that submission of this data has stopped, and it has since deleted the previously submitted records.","An increase was seen in percentage occupancy when comparing October-December 2021 to the same quarter last year (most likely due to the return of services following the easing of COVID-19 restrictions), although the number of average available staffed beds decreased over the same period. 

Decreases in beds activity are mainly within University Hospital Hairmyres and are spread across several specialties but particularly in the Trauma & Orthopaedic Surgery, General Medicine, Geriatric Medicine (Units Other Than Long Stay) and Anaesthetics specialties. Data Management is currently investigating this with the board.

Large increases were observed in beds activity for the Rheumatology specialty in April-June 2020. Activity from July 2020 onwards has since returned to previous levels. Data Management has investigated this issue and has advised that the board's bed complement has remained the same: the differences are a result of beds being lent to other specialties when required.

Beds activity for the Palliative Medicine specialty has stopped from 1 January 2019 onwards. Data Management has advised that it has stopped estimating Palliative Medicine beds."
